,Name,Marriage Dates,First Marriage Date,Divorce Dates,Marriage Lengths,Average Marriage Lengths
509,Rose Porteous,"[1971, 1983, 1985, 1992]",1971.0,"[1980, 1985]","[9, 2]",5.5
510,Rose Selfridge,[1890],1890.0,[],[],
511,Rose Stradner,[1939],1939.0,[],[],
512,Rose Toll,[],,[],[],
513,Roseanne Barr,"[1974, 1990, 1995]",1974.0,[],[],
514,Roseanne Conner,[],,[],[],
515,Roseanne Connor,[],,[],[],
516,Roselyn Sánchez,"[1998, 2008]",1998.0,[2001],[3],3.0
517,Rosemarie Bowe,[1956],1956.0,[],[],
518,Rosemarie DeWitt,"[1995, 2009]",1995.0,[2006],[11],11.0
519,Rosemarie Ford,[2006],2006.0,[],[],
520,Rosemarie Gil,[],,[],[],
521,Rosemarie Haag Bletter,[],,[],[],
522,Rosemary Ames,[],,[],[],
523,Rosemary Blight,[],,[],[],
524,Rosemary Clooney,[],,[],[],
525,Rosemary Forbes Kerry,[],,[],[],
526,Rosemary Harris,"[1959, 1967]",1959.0,[1967],[8],8.0
527,Rosemary Kyburz,[],,[],[],
528,Rosemary McKenna,[],,[],[],
529,Rosemary Squire,[],,[],[],
530,Rosemary Theby,[],,[],[],
531,Rosemary West,[],,[],[],
532,Rosenda Monteros,[],,[],[],
533,Roshan Pilapitiya,[],,[],[],
534,Roshumba Williams,[],,[],[],
535,Rosie Perez,"[1991, 2013]",1991.0,[2001],[10],10.0
536,Rosie Pope,[],,[],[],
537,Rosie Rowell,[],,[],[],
538,Rosie Shuster,[1971],1971.0,[1980],[9],9.0
539,Rosine Elisabeth Menthe,[],,[],[],
540,Rosmah Mansor,[1987],1987.0,[],[],
541,Ross Alexander,[],,[],[],
542,"Ross Bagdasarian, Jr.",[1979],1979.0,[],[],
543,Ross Geller,[],,[],[],
544,Ross Kemp,"[2002, 2012]",2002.0,[],[],
545,Ross Kettle,[],,[],[],
546,Ross Macdonald,[],,[],[],
547,Ross Milne (Canadian politician),[],,[],[],
548,Ross Moffett,[],,[],[],
549,Ross S. Sterling,[],,[],[],
550,Rossana Podestà,[],,[],[],
551,Rostislav Mikhailovich,[],,[],[],
552,Rostislav Stratimirovic,[],,[],[],
553,Rostom of Kartli,[],,[],[],
554,Rosângela Matheus,[],,[],[],
555,Rotimi Amaechi,[],,[],[],
556,Rove McManus,"[2005, 2009]",2005.0,[],[],
557,Rowan Williams,[1981],1981.0,[],[],
558,Rowena Wallace,[],,[],[],
559,Roxana Judkins Stinchfield Ferris,[],,[],[],
560,Roxane Wilson,[],,[],[],
561,Roxann Dawson,[],,[],[],
562,Roxanne Hart,[],,[],[],
563,Roxelana,[],,[],[],
564,Roxie Roker,[1962],1962.0,[1985],[23],23.0
565,Roxy LeBlanc,[],,[],[],
566,Roxy Shahidi,[],,[],[],
567,Roy Battersby,[],,[],[],
568,Roy Bedichek,[],,[],[],
569,Roy Campbell (poet),[],,[],[],
570,Roy Castle,[1963],1963.0,[],[],
571,Roy Chapman Andrews,[],,[],[],
572,Roy Dotrice,[1947],1947.0,[],[],
573,Roy Eisenhardt,[],,[],[],
574,Gary Cole,[1992],1992.0,[],[],
575,Gary Collins (actor),[],,[],[],
576,Gary Conway,[],,[],[],
577,Gary Cooper,[1933],1933.0,[],[],
578,Gary Delaney,[2013],2013.0,[],[],
579,Gary Doty,[],,[],[],
580,Gary Dourdan,[],,[],[],
581,Gary Filmon,[1963],1963.0,[],[],
582,Gary Goldschneider,[],,[],[],
583,Gary Graver,[],,[],[],
584,Gary Hannig,[],,[],[],
585,Gary Lockwood,[],,[],[],
586,Gary Mauer,[],,[],[],
587,Gary Merrill,[],,[],[],
588,Gary Morton,"[1953, 1961, 1996]",1953.0,[],[],
589,Gary Oldman,"[1987, 1990, 1997, 2008]",1987.0,"[1989, 1992, 2001, 2015]","[2, 2, 4, 7]",3.75
590,Gary Olsen,[],,[],[],
591,Gary Paterson,[],,[],[],
592,Gary Sinise,[1981],1981.0,[],[],
593,Gary Sweet,[],,[],[],
594,Gary Webster,[],,[],[],
